months_since_last_pymnt_d_last_credit_pull_d,months_since_issue_d_last_credit_pull_d,out_prncp_inv,grade,last_pymnt_amnt,dti,total_rev_hi_lim,total_rec_int,months_since_earliest_cr_line,revol_util,tot_cur_bal,verification_status,inq_last_6mths,credit_event
0,6,9386.86,B,354.89,25.5,18100,510.1,225,44.0,34398,Not Verified,1,0
0,10,9567.06,C,422.67,36.93,21100,1184.88,179,81.3,75847,Verified,0,0
0,10,1492.56,B,62.84,16.92,25600,119.14,132,17.1,57963,Verified,0,0
0,3,5575.04,B,197.95,25.67,30100,161.2,311,41.1,13697,Source Verified,1,0
0,6,8492.75,A,312.86,34.74,35800,365.53,129,20.2,62183,Not Verified,2,0
0,4,18979.76,B,434.75,26.03,102100,706.55,386,97.8,266214,Not Verified,1,0
2,8,0.0,A,8469.92,15.81,21300,348.09,163,45.9,42421,Not Verified,0,0
0,6,3683.14,B,133.9,7.68,14000,150.5,307,21.6,5988,Verified,0,0
1,6,10464.26,A,366.37,8.73,36000,291.95,202,32.3,11640,Source Verified,0,0
0,5,8610.53,C,400.0,9.41,9400,490.08,72,44.0,36833,Verified,0,0
3,11,0.0,A,4161.65,16.83,8000,254.47,137,27.8,75165,Source Verified,0,0
0,8,11169.99,B,265.53,25.78,10500,780.35,199,58.1,63930,Source Verified,0,0
0,12,12408.91,D,358.97,13.95,29700,2302.84,156,56.6,23358,Source Verified,2,0
0,11,7050.48,C,323.42,12.61,11200,1001.17,142,52.4,11568,Source Verified,0,0
1,4,9226.13,A,301.15,14.14,36300,126.62,153,24.6,224483,Source Verified,0,0
1,4,0.0,E,2826.17,10.68,2500,156.86,160,82.2,41042,Verified,2,0
0,3,9316.65,C,341.73,23.33,14500,334.07,87,91.6,93669,Verified,0,0
0,3,27233.15,A,566.27,1.18,238500,353.42,178,11.4,17123,Source Verified,1,0
0,1,6845.82,D,259.05,21.81,11200,92.88,155,56.6,27939,Verified,1,0
0,3,28827.73,B,637.27,21.56,80830,722.89,194,61.0,249154,Source Verified,2,0
0,3,4753.13,B,157.1,27.54,4000,62.79,174,85.8,39986,Source Verified,0,0
1,11,5290.57,B,230.94,25.31,20500,595.49,90,53.0,15555,Source Verified,1,0
1,4,11562.69,C,271.14,14.61,14800,367.65,147,88.7,209568,Not Verified,0,0
0,2,15633.02,C,377.71,20.94,42500,375.42,160,82.9,174873,Verified,1,0
0,2,13616.57,A,283.14,8.11,22900,222.73,260,38.0,38592,Not Verified,0,0
0,9,22151.56,C,559.79,5.98,11500,2089.33,178,22.1,162200,Source Verified,0,0
1,11,5963.57,A,250.29,17.04,25800,462.96,177,45.1,71981,Verified,0,0
0,3,10792.15,C,389.13,17.59,32600,303.41,91,34.6,21660,Source Verified,1,0
0,12,12959.65,A,565.64,24.06,38700,1165.31,180,72.6,44873,Not Verified,0,0
1,11,0.0,B,15894.39,4.04,11400,1807.06,174,57.6,16594,Source Verified,0,0
0,7,5755.18,A,216.98,13.33,32200,271.22,270,34.1,155084,Not Verified,1,0
0,2,29221.74,B,637.27,24.44,55700,354.75,218,44.5,190751,Source Verified,0,0
0,12,6864.98,A,304.36,17.78,127400,510.6,335,35.6,148326,Source Verified,0,0
3,8,0.0,A,13582.91,11.11,46600,427.58,185,38.3,20896,Not Verified,0,0
0,2,10936.28,C,258.7,17.47,7100,245.17,150,21.5,42523,Verified,2,0
1,7,3495.22,C,135.92,13.11,9700,232.96,98,85.3,8277,Not Verified,0,0
0,7,8213.49,A,308.27,8.54,31400,367.55,177,30.2,39731,Not Verified,0,0
0,1,24867.37,B,570.13,5.89,57900,224.66,197,30.4,204693,Source Verified,1,0
0,10,9288.53,E,269.52,39.88,27800,1547.82,72,31.7,29134,Source Verified,0,0
1,3,24441.23,D,602.79,21.76,65100,625.13,181,45.3,148288,Source Verified,4,0
0,10,13963.88,C,358.27,32.53,26600,1535.66,147,65.0,56211,Source Verified,0,0
1,12,25841.49,C,1201.5,18.94,176740,4002.34,483,41.0,81354,Source Verified,1,0
0,6,26182.96,B,608.65,8.51,37500,1232.51,171,61.3,22982,Not Verified,0,0
0,4,8101.57,A,281.58,26.31,22400,223.95,69,37.9,22667,Not Verified,1,0
0,5,16930.91,C,418.74,1.35,17800,996.63,179,15.7,100646,Verified,0,0
0,6,10136.04,B,382.55,26.09,32900,504.29,312,88.5,91708,Not Verified,3,0
1,10,25448.7,D,1140.73,29.61,190330,3685.07,339,100.0,460338,Source Verified,0,0
0,5,11170.21,A,242.69,13.39,51700,407.33,267,50.0,96150,Not Verified,0,0
0,8,16247.19,C,683.46,13.54,8100,1740.25,166,71.5,9933,Source Verified,0,0
0,5,11907.23,D,313.08,6.2,6500,848.84,145,25.4,35916,Not Verified,0,0
0,9,12668.63,D,559.44,35.89,98100,1689.71,393,45.3,66910,Not Verified,1,0
1,3,34168.41,C,802.29,8.28,45400,721.15,308,59.3,424941,Source Verified,0,0
0,5,7339.5,A,260.37,15.39,14600,234.57,131,81.4,43849,Verified,0,0
0,5,14069.92,C,335.87,24.26,45000,728.79,159,61.4,389256,Verified,1,0
1,4,22420.8,D,862.49,26.16,40800,1054.07,129,55.4,281826,Verified,0,0
0,9,11495.69,A,455.86,6.91,27400,593.49,483,38.5,280693,Not Verified,0,0
0,11,12783.15,D,354.44,19.76,22200,1969.24,105,30.7,237769,Not Verified,0,0
0,3,12089.39,C,433.59,10.1,19500,381.28,227,82.5,206996,Source Verified,0,0
1,3,12981.45,E,345.1,30.71,15600,393.4,308,68.7,33976,Verified,1,0
1,9,11761.83,A,454.82,32.42,65300,594.9,209,1.5,161335,Source Verified,1,0
0,1,9772.02,C,337.81,21.92,7600,95.19,142,70.0,31395,Source Verified,3,0
0,7,10024.56,C,406.24,21.33,30100,859.35,103,74.5,228232,Not Verified,0,0
1,4,7439.62,C,266.83,22.04,7800,250.65,398,68.8,29055,Verified,1,0
0,2,34343.86,F,966.47,9.58,21400,1255.41,246,69.8,367372,Source Verified,1,0
4,8,9051.13,B,329.91,27.99,16800,364.36,256,54.2,53367,Not Verified,1,1
0,6,18518.92,C,451.9,37.29,23900,1202.12,120,54.2,44185,Not Verified,0,0
1,2,27617.83,A,566.27,3.67,47300,165.69,223,15.8,828489,Not Verified,2,0
