Variable,Bin,Points
months_since_last_pymnt_d_last_credit_pull_d,"(-inf, 0.50)",92.0
months_since_last_pymnt_d_last_credit_pull_d,"[0.50, inf)",0.0
months_since_last_pymnt_d_last_credit_pull_d,Special,33.0
months_since_last_pymnt_d_last_credit_pull_d,Missing,33.0
months_since_issue_d_last_credit_pull_d,"(-inf, 1.50)",118.0
months_since_issue_d_last_credit_pull_d,"[1.50, 2.50)",98.0
months_since_issue_d_last_credit_pull_d,"[2.50, 3.50)",94.0
months_since_issue_d_last_credit_pull_d,"[3.50, 4.50)",60.0
months_since_issue_d_last_credit_pull_d,"[4.50, 5.50)",52.0
months_since_issue_d_last_credit_pull_d,"[5.50, 6.50)",31.0
months_since_issue_d_last_credit_pull_d,"[6.50, 7.50)",22.0
months_since_issue_d_last_credit_pull_d,"[7.50, 9.50)",12.0
months_since_issue_d_last_credit_pull_d,"[9.50, 10.50)",6.0
months_since_issue_d_last_credit_pull_d,"[10.50, inf)",0.0
months_since_issue_d_last_credit_pull_d,Special,28.0
months_since_issue_d_last_credit_pull_d,Missing,28.0
out_prncp_inv,"(-inf, 209.17)",0.0
out_prncp_inv,"[209.17, 9485.96)",106.0
out_prncp_inv,"[9485.96, 10660.41)",124.0
out_prncp_inv,"[10660.41, 16016.37)",100.0
out_prncp_inv,"[16016.37, 28687.47)",100.0
out_prncp_inv,"[28687.47, inf)",80.0
out_prncp_inv,Special,84.0
out_prncp_inv,Missing,84.0
int_rate,"(-inf, 6.90)",67.0
int_rate,"[6.90, 9.33)",48.0
int_rate,"[9.33, 11.33)",41.0
int_rate,"[11.33, 11.76)",30.0
int_rate,"[11.76, 12.93)",29.0
int_rate,"[12.93, 13.55)",26.0
int_rate,"[13.55, 14.92)",23.0
int_rate,"[14.92, 17.06)",14.0
int_rate,"[17.06, 19.22)",10.0
int_rate,"[19.22, inf)",0.0
int_rate,Special,24.0
int_rate,Missing,24.0
last_pymnt_amnt,"(-inf, 278.26)",36.0
last_pymnt_amnt,"[278.26, 333.91)",33.0
last_pymnt_amnt,"[333.91, 668.03)",30.0
last_pymnt_amnt,"[668.03, 879.99)",26.0
last_pymnt_amnt,"[879.99, 1941.58)",0.0
last_pymnt_amnt,"[1941.58, inf)",219.0
last_pymnt_amnt,Special,33.0
last_pymnt_amnt,Missing,33.0
grade,['A'],21.0
grade,['B'],15.0
grade,['C'],9.0
grade,['D'],3.0
grade,['E' 'F' 'G'],0.0
grade,Special,8.0
grade,Missing,8.0
addr_state,['ND' 'VT' 'ME' 'DC' 'NE' 'NH' 'AR' 'OR' 'MI' 'WA' 'CO' 'MS'],26.0
addr_state,['DE' 'GA' 'KY' 'PA'],19.0
addr_state,['SC' 'MO' 'TN' 'MT' 'IL' 'MA' 'WI'],17.0
addr_state,['CT' 'NC' 'WV' 'TX' 'OH'],15.0
addr_state,['NM' 'CA' 'MD'],12.0
addr_state,['MN' 'FL' 'AK' 'IN' 'VA'],10.0
addr_state,['WY' 'UT' 'AZ' 'NJ'],8.0
addr_state,['NY' 'NV'],6.0
addr_state,['OK' 'KS' 'AL' 'LA' 'RI' 'HI' 'SD'],0.0
addr_state,Special,13.0
addr_state,Missing,13.0
total_rec_int,"(-inf, 161.14)",0.0
total_rec_int,"[161.14, 250.65)",26.0
total_rec_int,"[250.65, 368.12)",33.0
total_rec_int,"[368.12, 640.08)",36.0
total_rec_int,"[640.08, 744.80)",37.0
total_rec_int,"[744.80, 1037.91)",44.0
total_rec_int,"[1037.91, 1521.74)",52.0
total_rec_int,"[1521.74, 2139.78)",67.0
total_rec_int,"[2139.78, inf)",55.0
total_rec_int,Special,39.0
total_rec_int,Missing,39.0
dti,"(-inf, 8.41)",13.0
dti,"[8.41, 10.39)",12.0
dti,"[10.39, 13.53)",10.0
dti,"[13.53, 16.12)",10.0
dti,"[16.12, 18.86)",7.0
dti,"[18.86, 22.47)",6.0
dti,"[22.47, 26.93)",6.0
dti,"[26.93, 34.19)",3.0
dti,"[34.19, inf)",0.0
dti,Special,7.0
dti,Missing,7.0
total_rev_hi_lim,"(-inf, 6215.00)",0.0
total_rev_hi_lim,"[6215.00, 11002.50)",2.0
total_rev_hi_lim,"[11002.50, 15212.50)",2.0
total_rev_hi_lim,"[15212.50, 22050.00)",2.0
total_rev_hi_lim,"[22050.00, 31500.50)",3.0
total_rev_hi_lim,"[31500.50, 44723.00)",3.0
total_rev_hi_lim,"[44723.00, 60810.00)",4.0
total_rev_hi_lim,"[60810.00, 80450.00)",5.0
total_rev_hi_lim,"[80450.00, inf)",5.0
total_rev_hi_lim,Special,3.0
total_rev_hi_lim,Missing,3.0
annual_inc,"(-inf, 29725.00)",0.0
annual_inc,"[29725.00, 47808.50)",0.0
annual_inc,"[47808.50, 60049.50)",0.0
annual_inc,"[60049.50, 93636.00)",0.0
annual_inc,"[93636.00, 110900.00)",0.0
annual_inc,"[110900.00, inf)",0.0
annual_inc,Special,0.0
annual_inc,Missing,0.0
tot_cur_bal,"(-inf, 73726.50)",0.0
tot_cur_bal,"[73726.50, 160632.50)",1.0
tot_cur_bal,"[160632.50, 214019.00)",8.0
tot_cur_bal,"[214019.00, 253960.00)",4.0
tot_cur_bal,"[253960.00, inf)",4.0
tot_cur_bal,Special,2.0
tot_cur_bal,Missing,2.0
revol_util,"(-inf, 18.05)",6.0
revol_util,"[18.05, 48.25)",5.0
revol_util,"[48.25, 79.65)",4.0
revol_util,"[79.65, 92.55)",2.0
revol_util,"[92.55, inf)",0.0
revol_util,Special,4.0
revol_util,Missing,4.0
verification_status,['Not Verified'],11.0
verification_status,['Source Verified'],4.0
verification_status,['Verified'],0.0
verification_status,Special,4.0
verification_status,Missing,4.0
inq_last_6mths,"(-inf, 0.50)",8.0
inq_last_6mths,"[0.50, 1.50)",4.0
inq_last_6mths,"[1.50, inf)",0.0
inq_last_6mths,Special,6.0
inq_last_6mths,Missing,6.0
